#p q x1 x2 x3 df/dx3
11.130000 1.000000 0.318356 0.177638 0.023613 0.464070
11.130000 1.000000 1.635437 0.021056 0.125473 -0.538884
11.140000 1.000000 0.319187 0.177376 0.023658 0.463514
11.140000 1.000000 1.634268 0.021105 0.125290 -0.538035
11.150000 1.000000 0.320019 0.177113 0.023702 0.462956
11.150000 1.000000 1.633097 0.021154 0.125108 -0.537185
11.160000 1.000000 0.320854 0.176850 0.023747 0.462396
11.160000 1.000000 1.631924 0.021203 0.124926 -0.536333
11.170000 1.000000 0.321690 0.176587 0.023792 0.461834
11.170000 1.000000 1.630749 0.021252 0.124744 -0.535479
11.180000 1.000000 0.322529 0.176324 0.023837 0.461269
11.180000 1.000000 0.322529 0.176324 0.023837 0.461270
11.180000 1.000000 1.629572 0.021301 0.124562 -0.534624
11.180000 1.000000 1.629572 0.021302 0.124562 -0.534623
11.180000 1.000000 1.629572 0.021302 0.124562 -0.534624
11.190000 1.000000 0.323370 0.176061 0.023882 0.460703
11.190000 1.000000 0.323370 0.176061 0.023882 0.460704
11.190000 1.000000 1.628392 0.021351 0.124380 -0.533766
11.200000 1.000000 0.324213 0.175798 0.023927 0.460135
11.200000 1.000000 0.324213 0.175798 0.023927 0.460136
11.200000 1.000000 1.627211 0.021401 0.124198 -0.532908
11.210000 1.000000 0.325058 0.175535 0.023972 0.459565
11.210000 1.000000 1.626027 0.021451 0.124017 -0.532047
11.220000 1.000000 0.325905 0.175271 0.024017 0.458993
11.220000 1.000000 1.624841 0.021501 0.123835 -0.531185
11.230000 1.000000 0.326754 0.175007 0.024063 0.458419
11.230000 1.000000 1.623653 0.021551 0.123654 -0.530321
11.240000 1.000000 0.327605 0.174743 0.024108 0.457843
11.240000 1.000000 0.327605 0.174744 0.024108 0.457843
11.240000 1.000000 1.622463 0.021601 0.123472 -0.529455
11.250000 1.000000 0.328458 0.174480 0.024154 0.457265
11.250000 1.000000 1.621271 0.021652 0.123291 -0.528588
11.260000 1.000000 0.329314 0.174215 0.024199 0.456685
11.260000 1.000000 1.620076 0.021702 0.123110 -0.527719
11.270000 1.000000 0.330172 0.173951 0.024245 0.456103
11.270000 1.000000 1.618879 0.021753 0.122929 -0.526848
11.280000 1.000000 0.331031 0.173687 0.024291 0.455518
11.280000 1.000000 0.331032 0.173687 0.024291 0.455518
11.280000 1.000000 1.617680 0.021804 0.122748 -0.525975
11.290000 1.000000 0.331893 0.173422 0.024337 0.454932
11.290000 1.000000 0.331894 0.173422 0.024337 0.454932
11.290000 1.000000 1.616479 0.021855 0.122567 -0.525101
11.300000 1.000000 0.332758 0.173158 0.024383 0.454343
11.300000 1.000000 1.615276 0.021906 0.122386 -0.524225
11.310000 1.000000 0.333624 0.172893 0.024429 0.453753
11.310000 1.000000 1.614070 0.021958 0.122205 -0.523347
11.320000 1.000000 0.334493 0.172628 0.024476 0.453160
11.320000 1.000000 1.612862 0.022009 0.122025 -0.522467
11.330000 1.000000 0.335364 0.172363 0.024522 0.452565
11.330000 1.000000 1.611652 0.022061 0.121844 -0.521586
11.340000 1.000000 0.336237 0.172098 0.024568 0.451969
11.340000 1.000000 1.610439 0.022113 0.121664 -0.520703
11.350000 1.000000 0.337112 0.171832 0.024615 0.451370
11.350000 1.000000 1.609224 0.022165 0.121483 -0.519818
11.350000 1.000000 1.609225 0.022165 0.121483 -0.519818
11.360000 1.000000 0.337989 0.171567 0.024662 0.450768
11.360000 1.000000 0.337990 0.171567 0.024662 0.450768
11.360000 1.000000 1.608007 0.022217 0.121303 -0.518931
11.370000 1.000000 0.338869 0.171301 0.024709 0.450165
11.370000 1.000000 1.606788 0.022270 0.121123 -0.518042
11.380000 1.000000 0.339751 0.171036 0.024756 0.449560
11.380000 1.000000 1.605566 0.022322 0.120943 -0.517152
11.390000 1.000000 0.340636 0.170770 0.024803 0.448952
11.390000 1.000000 1.604342 0.022375 0.120763 -0.516259
11.400000 1.000000 0.341522 0.170504 0.024850 0.448342
11.400000 1.000000 1.603116 0.022428 0.120583 -0.515365
11.410000 1.000000 0.342411 0.170237 0.024897 0.447730
11.410000 1.000000 1.601887 0.022481 0.120403 -0.514469
11.420000 1.000000 0.343303 0.169971 0.024944 0.447116
11.420000 1.000000 1.600656 0.022535 0.120223 -0.513571
11.430000 1.000000 0.344196 0.169705 0.024992 0.446500
11.430000 1.000000 1.599423 0.022588 0.120043 -0.512671
11.440000 1.000000 0.345092 0.169438 0.025039 0.445881
11.440000 1.000000 1.598187 0.022642 0.119863 -0.511770
11.450000 1.000000 0.345990 0.169171 0.025087 0.445261
11.450000 1.000000 1.596948 0.022695 0.119684 -0.510866
11.450000 1.000000 1.596949 0.022695 0.119684 -0.510866
11.460000 1.000000 0.346891 0.168904 0.025135 0.444638
11.460000 1.000000 1.595708 0.022749 0.119504 -0.509960
11.470000 1.000000 0.347794 0.168637 0.025183 0.444012
11.470000 1.000000 1.594465 0.022804 0.119325 -0.509053
11.480000 1.000000 0.348700 0.168370 0.025231 0.443385
11.480000 1.000000 1.593219 0.022858 0.119146 -0.508144
11.490000 1.000000 0.349607 0.168103 0.025279 0.442755
11.490000 1.000000 1.591971 0.022912 0.118966 -0.507232
11.500000 1.000000 0.350518 0.167835 0.025327 0.442123
